Summary,Issue Type,Application,Module,Description,Platform,Version,Environment,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Labels
BMS Alert list rows have no Edit or Delete action buttons at all,Bug,Trackofy,Settings / Alert Configuration,"A BMS Alert configuration, once created, can never be edited or deleted through the UI -- its row in the list renders correctly with real data but carries zero action buttons of any kind, unlike every other alert type checked (AC, Ignition, Main Power, Panic, Speed, Idle, Temperature, POI, Vehicle Odometer Alert all have at least one). Found while regression-testing the fix for a previously reported bug (BMS/Odometer Alert list not refreshing), which is otherwise confirmed fixed.",Web,V6.2,Staging,"1. Log in and open Settings > Alert Configuration > BMS Alert.
2. Create a BMS Alert configuration for any vehicle (fill time range, thresholds, notification channel, submit).
3. Confirm the new row appears in the list with correct data.
4. Inspect the row for Edit/Delete action buttons, or try to click one.
5. Repeat steps 1-4 on a different alert type (e.g. Vehicle Odometer Alert or POI Alert) for comparison.","BMS Alert rows should offer the same Edit/Delete action buttons every other alert type's rows do, so a configuration can be managed or removed after creation.","BMS Alert rows have no buttons in the action-column area at all (confirmed live 3x, checking up to 5 rows out of 10 existing rows each time) -- the configuration is permanent once created. Vehicle Odometer Alert and every other alert type checked render their action buttons normally.",High,High,settings alert-configuration bms-alert missing-ui-control unmanageable-record
A fixed-position FEEDBACK widget can intercept clicks on real row action buttons underneath it,Bug,Trackofy,Global / UI,"A ""FEEDBACK"" button fixed at 40% viewport height on the right edge (position: fixed, not scrolled with page content) is rendered on top of normal page content on at least Dashboard, Unit, and Settings (confirmed absent on Home, Tracking, Reports in the same pass). Because it's fixed to the viewport, any real interactive control (Edit/Delete/Assign/etc.) that happens to scroll to around that screen height -- which depends entirely on how much content renders above it -- becomes genuinely unclickable through a normal click, with no visual indication anything is blocking it. Same class of defect as the already-reported CAN module map-overlay click-interception bug, but this is a shared app-level widget rather than one module's own overlay.",Web,V6.2,Staging,"1. Log in and open a module where the widget renders (e.g. Settings > Vehicle Management > Location Control).
2. Scroll or create enough rows that a row's action button (e.g. Delete) lands at roughly 40% of the viewport height, near the right edge.
3. Attempt a normal click on that action button.
4. Repeat on Dashboard and Unit to confirm the widget also renders there.","The FEEDBACK widget should never sit on top of real, currently-interactive page content -- either it should not intercept pointer events for elements beneath it, or it should be positioned/sized so it can't overlap real controls.","The click does not register on the intended button at all; Playwright's own actionability check reports the FEEDBACK widget's container div as the element intercepting pointer events at that point. Confirmed live 3x: one real click failure during test-data cleanup work, plus two independent module surveys confirming the widget's fixed position and visibility on Dashboard/Unit/Settings.",High,Medium,ui click-interception fixed-overlay app-wide feedback-widget
[SECURITY] Change Password Stage 1 accepts any password with zero server-side verification,Bug,Trackofy,Miscellaneous Pages / Change Password,"Re-verifying a previously reported bug (Change Password's Verify always rejected the correct password) found the symptom has changed to something more severe: Stage 1's Verify now unlocks Stage 2 for ANY input, including a deliberately wrong password. Network capture during the Verify click shows zero /api/ calls fire at all, for either a correct or incorrect password -- the 'Current password verified' success and Stage 2 unlock are not backed by any server-side check. The Update Password button itself becomes genuinely enabled once a new password is filled in, with Stage 1 'passed' on a wrong password -- the flow is fully prepared to submit a real password change with no current-password verification anywhere in the path. Update Password was deliberately NOT clicked to avoid actually changing the shared staging account's real credentials from a diagnostic script -- whether the final submit endpoint has its own independent check is unknown and needs product-team verification, not further automated probing against the live account.",Web,V6.2,Staging,"1. Log in and open Change Password (Account menu > Change Password).
2. In Stage 1 (""Verify your identity""), enter a definitely-wrong current password (not the real one).
3. Click Verify.
4. Observe whether Stage 2 (New Password / Confirm New Password) unlocks anyway.
5. Fill a new password and confirmation, and check whether Update Password becomes enabled.
6. Do NOT click Update Password on a real/shared account -- stop at confirming the button is enabled.","Verify should call the server to check the current password and only unlock Stage 2 when it is genuinely correct; a wrong password should be rejected with Stage 2 remaining locked.","Stage 2 unlocks and shows a 'Current password verified' success toast for a deliberately wrong password, with zero network calls made during Verify (confirmed via request/response capture). Update Password becomes enabled once a new password is filled in. Confirmed live 3x for the wrong-password-accepted behavior specifically.",Critical,Highest,security authentication change-password broken-auth-control credential-risk
Support ticket list and ticket submission load intermittently slowly,Bug,Trackofy,Miscellaneous Pages / Support,"The Support ticket list can take noticeably longer than expected to replace its 'No support tickets found' placeholder with the real ticket data after opening the page -- confirmed live this delay is intermittent (varies between fast and multi-second-slow across repeated checks, not a constant fixed lag). Raising a new ticket via the Raise Ticket dialog can likewise take longer than a typical form submission to return a result. Not a functional failure (both the list and ticket creation do work correctly), but worth investigating as a performance/reliability issue, particularly since a test or user reading the page immediately after load could mistake the placeholder for genuine empty state.",Web,V6.2,Staging,"1. Log in and open Support (Account menu > Support) -- repeat several times across a session.
2. Observe how long the ticket table takes to show real rows vs. the 'No support tickets found' placeholder.
3. Separately, raise a new ticket via Raise Ticket and time how long Submit takes to show a success/error toast.","The ticket list and ticket submission should load/respond consistently quickly, not intermittently slower than expected.","Confirmed live (and independently by manual testing) that both can be intermittently slow -- sometimes fast, sometimes taking several seconds longer than expected -- rather than a consistent, predictable response time.",Low,Medium,support performance intermittent-slow-load
A vehicle can only have one open support ticket at a time across all categories,Bug,Trackofy,Miscellaneous Pages / Support,"Attempting to raise a second support ticket for a vehicle that already has any open ticket is rejected with 'Complaint already exists for <vehicle IMEI>' -- confirmed this is NOT scoped to the same category as the existing open ticket: raising a ticket for the same vehicle under a genuinely different category (e.g. an existing 'Device is not giving data' ticket blocks a new 'Odometer is wrong' ticket for the same vehicle) is rejected identically to retrying the same category. Confirmed across 3 independent vehicles, each showing: first ticket succeeds, any subsequent ticket for that vehicle (same or different category) is rejected until the first is closed. This may be an intentional one-active-complaint-per-vehicle business rule rather than a bug, but flagged since it can block legitimately reporting a second, unrelated issue on the same vehicle.",Web,V6.2,Staging,"1. Log in and open Support (Account menu > Support), Raise Ticket for a vehicle with no existing open tickets, pick a category (e.g. 'Device is not giving data'), fill the rest, and submit -- confirm it succeeds.
2. Raise a second ticket for the SAME vehicle, this time picking a DIFFERENT category (e.g. 'Odometer is wrong').
3. Submit and observe the result.","Either both tickets should be allowed (if they represent genuinely different issues), or the rejection message should make clear the restriction is per-vehicle regardless of category, not specific to a duplicate report of the same issue.","The second ticket is rejected with 'Complaint already exists for <vehicle IMEI>', identical to what a genuine same-category duplicate would show, with no indication the block applies across categories too. Confirmed live 3x across 3 different vehicles.",Low,Medium,support raise-ticket business-rule ux-clarity
"Complaint already exists" error cites the vehicle's raw IMEI instead of the name shown in the selector,Bug,Trackofy,Miscellaneous Pages / Support,"When a second ticket for a vehicle is rejected ('Complaint already exists for <IMEI>'), the identifier cited is the vehicle's raw IMEI number (e.g. '864688053444367'), not the plate-style name the Select Vehicles combobox uses to display and select it (e.g. 'ptc400-demo'). A user has no visible way to connect the two, making it look like the block references an unrelated or wrong vehicle. Directly caused real user confusion during testing. RCA across 9 vehicles spanning the full fleet confirmed this is a pure display inconsistency, not a real vehicle-selection/mapping bug: the combobox's displayed value matched the actual selection in 9/9 attempts, each of 5 rejected vehicles cited the exact same IMEI on a repeat attempt (5/5 consistent), and no two different vehicles ever shared a cited IMEI (zero collisions).",Web,V6.2,Staging,"1. Log in and open Support (Account menu > Support), Raise Ticket for a vehicle that already has an open ticket (or create one first, then try a second).
2. Observe the rejection toast's identifier for the vehicle.
3. Compare it against the vehicle name shown in the Select Vehicles combobox for the same selection.","The rejection message should identify the vehicle the same way the selector does (by name/plate), or include both, so the user can recognize it as the vehicle they just picked.","The rejection cites a raw IMEI number with no visible relationship to the plate-style name shown in the selector, confirmed consistent per-vehicle (not random/wrong) across a 9-vehicle RCA, but still visibly disconnected from what the user selected.",Medium,Medium,support raise-ticket ux-clarity error-message identifier-mismatch
Admin Panel Create Dealer: "Saler Person" and "Sales Person Contact" are silently mandatory with no asterisk or label association,Bug,Trackofy,Admin Panel / Manage Dealer,"The Billing Information step's 'Saler Person' (a real typo in the app's own placeholder) and 'Sales Person Contact' fields have no asterisk and no `for` attribute connecting them to their visible label -- same gap already known for several other fields on this wizard (Company Name/GST/PAN/Address/City/PIN Code) -- yet Create Dealer's Submit will not succeed without both being filled with valid-format values. Nothing marks them as required.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open User > Manage Dealer > Create Dealer.
2. Fill Personal Information and click Next.
3. Fill every field that shows a required asterisk on the Billing Information step, deliberately skipping Saler Person and Sales Person Contact (neither is marked required).
4. Attempt to submit.","Fields that are effectively required should be marked with an asterisk like every other required field on the form.","Saler Person and Sales Person Contact show no asterisk and are not reachable via standard label association, despite being effectively mandatory for a successful submission.",Medium,Medium,admin-panel create-dealer missing-required-marker accessibility
Admin Panel Create/Edit Dealer: PIN Code field has no minimum or maximum length validation,Bug,Trackofy,Admin Panel / Manage Dealer,"The PIN Code field correctly filters out non-digit characters as typed, but enforces no length bounds: typing 13 digits registers all 13 with no truncation, and typing as few as 2 digits is equally accepted with no minimum-length warning. A real PIN Code is a fixed 6 digits. This is what makes the related Edit-time SQL error (see companion row) reachable in the first place.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open User > Manage Dealer > Create Dealer (or Edit an existing dealer).
2. Type more than 6 digits into a PIN Code field, then separately try fewer than 6.
3. Observe whether either is rejected or truncated.","PIN Code should be capped at exactly 6 digits, matching its real-world format.","Both over-length (13 digits) and under-length (2 digits) values are accepted with no client-side restriction.",Medium,Medium,admin-panel create-dealer validation-gap missing-length-limit
"Admin Panel Edit Dealer: an out-of-range PIN Code accepted on Create fails Edit with a raw SQL error (reported by user, not yet independently verified)",Bug,Trackofy,Admin Panel / Manage Dealer,"A dealer created with a PIN Code longer than 6 digits (nothing prevents this at Create time -- see companion row) later fails when that dealer is edited: submitting the Edit form shows an Edit failed toast, and the Network tab shows a SQL-related error response. A PIN Code shorter than 6 digits does not trigger this failure on Edit, only longer values do. Reported by the user's own manual testing; not yet independently reproduced by automation due to an unrelated test-script timing issue -- needs a follow-up live reverification pass before treating as fully confirmed.",Web,V6.2,Staging,"1. Create a dealer with a PIN Code longer than 6 digits (e.g. 10 digits).
2. Open that dealer for Edit.
3. Resubmit the Edit form without changing the PIN Code, and check the Network tab for the response.","Edit should either accept the same value Create accepted, or Create should have rejected the out-of-range value in the first place -- either way, a raw SQL error should never reach the client.","Edit fails with an Edit failed toast and a SQL-related error visible in the Network tab, per the user's manual testing.",High,High,admin-panel edit-dealer sql-error information-disclosure needs-verification
Admin Panel Profile: the shared Send OTP mechanism fails with a raw technical error -- blocks both Update Mobile Number and Change Password,Bug,Trackofy,Admin Panel / Profile,"Opening My Profile's Mobile field edit (pencil) icon and clicking Send OTP to Current Mobile shows the literal, unmodified HTTP client error 'Http failure response for https://beta2.trackofy.com/user_new.php: 0 Unknown Error'. Confirmed the account's own Change Password flow hits this exact same failure (identical toast, identical endpoint, identical status) when its own Send OTP is clicked -- both features share one broken underlying OTP-send mechanism, not two independent bugs. Status 0 means the request never received a proper HTTP response at all (confirmed via full response capture: no user_new.php call appears among the responses received, only unrelated dashboard calls).",Web,V6.2,Staging,"1. Log in to the Admin Panel and open My Profile (via the profile icon dropdown).
2. Click the edit (pencil) icon next to Mobile, then Send OTP to Current Mobile -- observe the toast.
3. Separately, open Change Password and click its own Send OTP -- observe the toast.","A safe, generic error message should be shown if the OTP send fails, with no raw HTTP client text or backend endpoint path, for both flows.","Both flows show the literal raw HTTP client error including the backend endpoint path (user_new.php), and no OTP is ever sent for either.",High,High,admin-panel profile information-disclosure raw-error broken-feature change-password
